minute,habitat,UMAP_1,UMAP_2
ema_21_09_06,ema,-2.765935,20.781652
ema_21_09_07,ema,-1.4784571,20.893158
firstreef_20_20_18,firstreef,1.8695998,18.890104
firstreef_20_20_15,firstreef,0.41056976,17.869877
firstreef_20_20_12,firstreef,1.2268723,18.058527
firstreef_20_20_09,firstreef,0.56469405,18.393166
firstreef_20_20_06,firstreef,0.46838573,18.766567
firstreef_20_20_03,firstreef,-0.11818828,18.655233
firstreef_20_20_00,firstreef,0.459069,19.384804
ema_21_08_59,ema,-2.5569022,20.26195
ema_21_09_00,ema,-1.5083367,19.428913
ema_21_09_01,ema,-2.0980892,19.905499
ema_21_09_02,ema,-1.0213139,20.053629
ema_21_09_03,ema,-2.7954006,19.675018
ema_21_09_04,ema,-1.7262335,20.16758
ema_21_09_05,ema,-2.0073788,20.810055
firstreef_20_19_57,firstreef,1.3213437,18.769367
firstreef_20_19_54,firstreef,1.2825665,19.546965
firstreef_20_19_51,firstreef,0.9902719,19.014486
narega1_24_12_29,narega1,13.799935,1.347904
narega1_24_12_28,narega1,12.929284,0.24642514
narega1_24_12_27,narega1,13.990679,0.11528941
narega1_24_12_26,narega1,12.646433,0.65950835
narega1_24_12_25,narega1,13.422812,-0.31410637
narega1_24_12_24,narega1,13.624511,0.56590056
narega1_24_12_23,narega1,13.163598,0.97017485
narega1_24_12_21,narega1,14.231751,0.74215484
narega1_24_12_20,narega1,13.618828,-0.50474006
narega1_24_12_19,narega1,12.74835,-0.25093
tuare_20_23_42,tuare,43.780453,1.253003
tuare_20_23_39,tuare,43.356644,1.9813243
tuare_20_23_36,tuare,43.969883,1.7432053
tuare_20_23_33,tuare,44.60216,0.5761549
tuare_20_23_30,tuare,44.498245,1.9968355
tuare_20_23_27,tuare,44.584538,1.2663678
tuare_20_23_24,tuare,44.76848,1.8304664
tuare_20_23_21,tuare,44.187176,0.71081173
tuare_20_23_18,tuare,45.212685,1.2657351
tuare_20_23_15,tuare,43.37814,0.9191835
ema_21_08_58,ema,-2.069607,19.338322
